      ┌────────date_to_hour─┬─logs_count─┐
   1. │ 2024-08-08 03:00:00 │         71 │
  53. │ 2024-08-10 07:00:00 │        144 │
  54. │ 2024-08-10 08:00:00 │        142 │
  55. │ 2024-08-10 09:00:00 │        163 │
  56. │ 2024-08-10 10:00:00 │        149 │
  57. │ 2024-08-10 11:00:00 │        148 │
  58. │ 2024-08-10 12:00:00 │        132 │
  59. │ 2024-08-10 13:00:00 │        138 │
  60. │ 2024-08-10 14:00:00 │        166 │
  61. │ 2024-08-10 15:00:00 │        113 │
  62. │ 2024-08-10 16:00:00 │        123 │
  63. │ 2024-08-10 17:00:00 │        156 │
  64. │ 2024-08-10 18:00:00 │        124 │
  65. │ 2024-08-10 19:00:00 │        127 │
  66. │ 2024-08-10 20:00:00 │        131 │
  67. │ 2024-08-10 21:00:00 │        145 │
  68. │ 2024-08-10 22:00:00 │        142 │
  69. │ 2024-08-10 23:00:00 │        123 │
  70. │ 2024-08-11 00:00:00 │        154 │
  71. │ 2024-08-11 01:00:00 │        142 │
  72. │ 2024-08-11 02:00:00 │        140 │
  73. │ 2024-08-11 03:00:00 │        164 │
  74. │ 2024-08-11 04:00:00 │        156 │
  75. │ 2024-08-11 05:00:00 │        151 │
  76. │ 2024-08-11 06:00:00 │        138 │
  77. │ 2024-08-11 07:00:00 │        120 │
  78. │ 2024-08-11 08:00:00 │        151 │
  79. │ 2024-08-11 09:00:00 │        135 │
  80. │ 2024-08-11 10:00:00 │        144 │
  81. │ 2024-08-11 11:00:00 │        144 │
  82. │ 2024-08-11 12:00:00 │        155 │
  83. │ 2024-08-11 13:00:00 │        140 │
  84. │ 2024-08-11 14:00:00 │        143 │
  85. │ 2024-08-11 15:00:00 │        138 │
  86. │ 2024-08-11 16:00:00 │        151 │
  87. │ 2024-08-11 17:00:00 │        154 │
  88. │ 2024-08-11 18:00:00 │        137 │
  89. │ 2024-08-11 19:00:00 │        137 │
  90. │ 2024-08-11 20:00:00 │        144 │
  91. │ 2024-08-11 21:00:00 │        115 │
  92. │ 2024-08-11 22:00:00 │        120 │
  93. │ 2024-08-11 23:00:00 │        130 │
  94. │ 2024-08-12 00:00:00 │        160 │
  95. │ 2024-08-12 01:00:00 │        128 │
  96. │ 2024-08-12 02:00:00 │        130 │
  97. │ 2024-08-12 03:00:00 │        149 │
  98. │ 2024-08-12 04:00:00 │        143 │
  99. │ 2024-08-12 05:00:00 │        141 │
 100. │ 2024-08-12 06:00:00 │        119 │
 101. │ 2024-08-12 07:00:00 │        140 │
 102. │ 2024-08-12 08:00:00 │        128 │
 103. │ 2024-08-12 09:00:00 │        137 │
 104. │ 2024-08-12 10:00:00 │        122 │
 105. │ 2024-08-12 11:00:00 │        132 │
 106. │ 2024-08-12 12:00:00 │        117 │
 107. │ 2024-08-12 13:00:00 │        155 │
 108. │ 2024-08-12 14:00:00 │        135 │
 109. │ 2024-08-12 15:00:00 │        149 │
 110. │ 2024-08-12 16:00:00 │        135 │
 111. │ 2024-08-12 17:00:00 │        132 │
 112. │ 2024-08-12 18:00:00 │        137 │
 113. │ 2024-08-12 19:00:00 │        146 │
 114. │ 2024-08-12 20:00:00 │        142 │
 115. │ 2024-08-12 21:00:00 │        149 │
 116. │ 2024-08-12 22:00:00 │        116 │
 117. │ 2024-08-12 23:00:00 │        143 │
 118. │ 2024-08-13 00:00:00 │        112 │
 119. │ 2024-08-13 01:00:00 │        135 │
 120. │ 2024-08-13 02:00:00 │        131 │
 121. │ 2024-08-13 03:00:00 │        122 │
 122. │ 2024-08-13 04:00:00 │        138 │
 123. │ 2024-08-13 05:00:00 │        145 │
 124. │ 2024-08-13 06:00:00 │        134 │
 125. │ 2024-08-13 07:00:00 │        122 │
 126. │ 2024-08-13 08:00:00 │        126 │
 127. │ 2024-08-13 09:00:00 │        118 │
 128. │ 2024-08-13 10:00:00 │        133 │
 129. │ 2024-08-13 11:00:00 │        134 │
 130. │ 2024-08-13 12:00:00 │        124 │
 131. │ 2024-08-13 13:00:00 │        144 │
 132. │ 2024-08-13 14:00:00 │        133 │
 133. │ 2024-08-13 15:00:00 │        134 │
 134. │ 2024-08-13 16:00:00 │        154 │
 135. │ 2024-08-13 17:00:00 │        132 │
 136. │ 2024-08-13 18:00:00 │        160 │
 137. │ 2024-08-13 19:00:00 │        128 │
 138. │ 2024-08-13 20:00:00 │        128 │
 139. │ 2024-08-13 21:00:00 │        151 │
 140. │ 2024-08-13 22:00:00 │        158 │
 141. │ 2024-08-13 23:00:00 │        133 │
 142. │ 2024-08-14 00:00:00 │        152 │
 143. │ 2024-08-14 01:00:00 │        123 │
 144. │ 2024-08-14 02:00:00 │        143 │
 145. │ 2024-08-14 03:00:00 │        155 │
 146. │ 2024-08-14 04:00:00 │        151 │
 147. │ 2024-08-14 05:00:00 │        133 │
 148. │ 2024-08-14 06:00:00 │        152 │
 149. │ 2024-08-14 07:00:00 │        129 │
 150. │ 2024-08-14 08:00:00 │        149 │
 151. │ 2024-08-14 09:00:00 │        154 │
 152. │ 2024-08-14 10:00:00 │        122 │
 153. │ 2024-08-14 11:00:00 │        149 │
 154. │ 2024-08-14 12:00:00 │        138 │
 155. │ 2024-08-14 13:00:00 │        140 │
 156. │ 2024-08-14 14:00:00 │        138 │
 157. │ 2024-08-14 15:00:00 │        132 │
 158. │ 2024-08-14 16:00:00 │        123 │
 159. │ 2024-08-14 17:00:00 │        166 │
 160. │ 2024-08-14 18:00:00 │        137 │
 161. │ 2024-08-14 19:00:00 │        139 │
 162. │ 2024-08-14 20:00:00 │        134 │
 163. │ 2024-08-14 21:00:00 │        145 │
 164. │ 2024-08-14 22:00:00 │        152 │
 165. │ 2024-08-14 23:00:00 │        134 │
 166. │ 2024-08-15 00:00:00 │        140 │
 167. │ 2024-08-15 01:00:00 │        155 │
 168. │ 2024-08-15 02:00:00 │        127 │
 169. │ 2024-08-15 03:00:00 │        173 │
 170. │ 2024-08-15 04:00:00 │        139 │
 171. │ 2024-08-15 05:00:00 │        140 │
 172. │ 2024-08-15 06:00:00 │        154 │
 173. │ 2024-08-15 07:00:00 │        158 │
 174. │ 2024-08-15 08:00:00 │        131 │
 175. │ 2024-08-15 09:00:00 │        148 │
 176. │ 2024-08-15 10:00:00 │        145 │
 177. │ 2024-08-15 11:00:00 │        149 │
 178. │ 2024-08-15 12:00:00 │        152 │
 179. │ 2024-08-15 13:00:00 │        131 │
 180. │ 2024-08-15 14:00:00 │        134 │
 181. │ 2024-08-15 15:00:00 │        104 │
 182. │ 2024-08-15 16:00:00 │        129 │
 183. │ 2024-08-15 17:00:00 │        136 │
 184. │ 2024-08-15 18:00:00 │        151 │
 185. │ 2024-08-15 19:00:00 │        155 │
 186. │ 2024-08-15 20:00:00 │        153 │
 187. │ 2024-08-15 21:00:00 │        156 │
 188. │ 2024-08-15 22:00:00 │        124 │
 189. │ 2024-08-15 23:00:00 │        142 │
 190. │ 2024-08-16 00:00:00 │        122 │
 191. │ 2024-08-16 01:00:00 │        140 │
 192. │ 2024-08-16 02:00:00 │        166 │
 193. │ 2024-08-16 03:00:00 │        141 │
 194. │ 2024-08-16 04:00:00 │        134 │
 195. │ 2024-08-16 05:00:00 │        134 │
 196. │ 2024-08-16 06:00:00 │        155 │
 197. │ 2024-08-16 07:00:00 │        123 │
 198. │ 2024-08-16 08:00:00 │        140 │
 199. │ 2024-08-16 09:00:00 │        122 │
 200. │ 2024-08-16 10:00:00 │        146 │
 201. │ 2024-08-16 11:00:00 │        149 │
 202. │ 2024-08-16 12:00:00 │        132 │
 203. │ 2024-08-16 13:00:00 │        150 │
 204. │ 2024-08-16 14:00:00 │        156 │
 205. │ 2024-08-16 15:00:00 │        142 │
 206. │ 2024-08-16 16:00:00 │        135 │
 207. │ 2024-08-16 17:00:00 │        125 │
 208. │ 2024-08-16 18:00:00 │        129 │
 209. │ 2024-08-16 19:00:00 │        153 │
 210. │ 2024-08-16 20:00:00 │        144 │
 211. │ 2024-08-16 21:00:00 │        154 │
 212. │ 2024-08-16 22:00:00 │        145 │
 213. │ 2024-08-16 23:00:00 │        122 │
 214. │ 2024-08-17 00:00:00 │        142 │
 215. │ 2024-08-17 01:00:00 │        144 │
 216. │ 2024-08-17 02:00:00 │        134 │
 217. │ 2024-08-17 03:00:00 │        161 │
 218. │ 2024-08-17 04:00:00 │        129 │
 219. │ 2024-08-17 05:00:00 │        139 │
 220. │ 2024-08-17 06:00:00 │        143 │
 221. │ 2024-08-17 07:00:00 │        135 │
 222. │ 2024-08-17 08:00:00 │        155 │
 223. │ 2024-08-17 09:00:00 │        126 │
 224. │ 2024-08-17 10:00:00 │        117 │
 225. │ 2024-08-17 11:00:00 │        157 │
 226. │ 2024-08-17 12:00:00 │        137 │
 227. │ 2024-08-17 13:00:00 │        133 │
 228. │ 2024-08-17 14:00:00 │        147 │
 229. │ 2024-08-17 15:00:00 │        134 │
 230. │ 2024-08-17 16:00:00 │        135 │
 231. │ 2024-08-17 17:00:00 │        133 │
 232. │ 2024-08-17 18:00:00 │        150 │
 233. │ 2024-08-17 19:00:00 │        135 │
 234. │ 2024-08-17 20:00:00 │        128 │
 235. │ 2024-08-17 21:00:00 │        139 │
 236. │ 2024-08-17 22:00:00 │        142 │
 237. │ 2024-08-17 23:00:00 │        158 │
 238. │ 2024-08-18 00:00:00 │        134 │
 239. │ 2024-08-18 01:00:00 │        139 │
 240. │ 2024-08-18 02:00:00 │        121 │
 241. │ 2024-08-18 03:00:00 │        131 │
 242. │ 2024-08-18 04:00:00 │        146 │
 243. │ 2024-08-18 05:00:00 │        141 │
 244. │ 2024-08-18 06:00:00 │        127 │
 245. │ 2024-08-18 07:00:00 │        126 │
 246. │ 2024-08-18 08:00:00 │        142 │
 247. │ 2024-08-18 09:00:00 │        125 │
 248. │ 2024-08-18 10:00:00 │        129 │
 249. │ 2024-08-18 11:00:00 │        122 │
 250. │ 2024-08-18 12:00:00 │        122 │
 251. │ 2024-08-18 13:00:00 │        119 │
 252. │ 2024-08-18 14:00:00 │        150 │
 253. │ 2024-08-18 15:00:00 │        147 │
 254. │ 2024-08-18 16:00:00 │        143 │
 255. │ 2024-08-18 17:00:00 │        145 │
 256. │ 2024-08-18 18:00:00 │        145 │
 257. │ 2024-08-18 19:00:00 │        143 │
 258. │ 2024-08-18 20:00:00 │        172 │
 259. │ 2024-08-18 21:00:00 │        143 │
 260. │ 2024-08-18 22:00:00 │        135 │
 261. │ 2024-08-18 23:00:00 │        146 │
 262. │ 2024-08-19 00:00:00 │        126 │
 263. │ 2024-08-19 01:00:00 │        124 │
 264. │ 2024-08-19 02:00:00 │        120 │
 265. │ 2024-08-19 03:00:00 │        139 │
 266. │ 2024-08-19 04:00:00 │        128 │
 267. │ 2024-08-19 05:00:00 │        175 │
 268. │ 2024-08-19 06:00:00 │        150 │
 269. │ 2024-08-19 07:00:00 │        136 │
 270. │ 2024-08-19 08:00:00 │        133 │
 271. │ 2024-08-19 09:00:00 │        138 │
 272. │ 2024-08-19 10:00:00 │        131 │
 273. │ 2024-08-19 11:00:00 │        136 │
 274. │ 2024-08-19 12:00:00 │        137 │
 275. │ 2024-08-19 13:00:00 │        141 │
 276. │ 2024-08-19 14:00:00 │        140 │
 277. │ 2024-08-19 15:00:00 │        134 │
 278. │ 2024-08-19 16:00:00 │        151 │
 279. │ 2024-08-19 17:00:00 │        144 │
 280. │ 2024-08-19 18:00:00 │        126 │
 281. │ 2024-08-19 19:00:00 │        137 │
 282. │ 2024-08-19 20:00:00 │        121 │
 283. │ 2024-08-19 21:00:00 │        134 │
 284. │ 2024-08-19 22:00:00 │        143 │
 285. │ 2024-08-19 23:00:00 │        139 │
 286. │ 2024-08-20 00:00:00 │        127 │
 287. │ 2024-08-20 01:00:00 │        123 │
 288. │ 2024-08-20 02:00:00 │        146 │
 289. │ 2024-08-20 03:00:00 │        135 │
 290. │ 2024-08-20 04:00:00 │        143 │
 291. │ 2024-08-20 05:00:00 │        137 │
 292. │ 2024-08-20 06:00:00 │        139 │
 293. │ 2024-08-20 07:00:00 │        150 │
 294. │ 2024-08-20 08:00:00 │        138 │
 295. │ 2024-08-20 09:00:00 │        124 │
 296. │ 2024-08-20 10:00:00 │        130 │
 297. │ 2024-08-20 11:00:00 │        169 │
 298. │ 2024-08-20 12:00:00 │        148 │
 299. │ 2024-08-20 13:00:00 │        141 │
 300. │ 2024-08-20 14:00:00 │        128 │
 301. │ 2024-08-20 15:00:00 │        114 │
 302. │ 2024-08-20 16:00:00 │        135 │
 303. │ 2024-08-20 17:00:00 │        148 │
 304. │ 2024-08-20 18:00:00 │        117 │
 305. │ 2024-08-20 19:00:00 │        125 │
 306. │ 2024-08-20 20:00:00 │        140 │
 307. │ 2024-08-20 21:00:00 │        145 │
 308. │ 2024-08-20 22:00:00 │        137 │
 309. │ 2024-08-20 23:00:00 │        159 │
 310. │ 2024-08-21 00:00:00 │        142 │
 311. │ 2024-08-21 01:00:00 │        153 │
 312. │ 2024-08-21 02:00:00 │        135 │
 313. │ 2024-08-21 03:00:00 │        135 │
 314. │ 2024-08-21 04:00:00 │        127 │
 315. │ 2024-08-21 05:00:00 │        142 │
 316. │ 2024-08-21 06:00:00 │        156 │
 317. │ 2024-08-21 07:00:00 │        149 │
 318. │ 2024-08-21 08:00:00 │        140 │
 319. │ 2024-08-21 09:00:00 │        138 │
 320. │ 2024-08-21 10:00:00 │        133 │
 321. │ 2024-08-21 11:00:00 │        143 │
 322. │ 2024-08-21 12:00:00 │        123 │
 323. │ 2024-08-21 13:00:00 │        128 │
 324. │ 2024-08-21 14:00:00 │        146 │
 325. │ 2024-08-21 15:00:00 │        150 │
 326. │ 2024-08-21 16:00:00 │        153 │
 327. │ 2024-08-21 17:00:00 │        143 │
 328. │ 2024-08-21 18:00:00 │        118 │
 329. │ 2024-08-21 19:00:00 │        132 │
 330. │ 2024-08-21 20:00:00 │        129 │
 331. │ 2024-08-21 21:00:00 │        164 │
 332. │ 2024-08-21 22:00:00 │        134 │
 333. │ 2024-08-21 23:00:00 │        142 │
 334. │ 2024-08-22 00:00:00 │        151 │
 335. │ 2024-08-22 01:00:00 │        128 │
 336. │ 2024-08-22 02:00:00 │        160 │
 337. │ 2024-08-22 03:00:00 │        141 │
 338. │ 2024-08-22 04:00:00 │        132 │
 339. │ 2024-08-22 05:00:00 │        112 │
 340. │ 2024-08-22 06:00:00 │        143 │
 341. │ 2024-08-22 07:00:00 │        134 │
 342. │ 2024-08-22 08:00:00 │        123 │
 343. │ 2024-08-22 09:00:00 │        158 │
 344. │ 2024-08-22 10:00:00 │        142 │
 345. │ 2024-08-22 11:00:00 │        120 │
 346. │ 2024-08-22 12:00:00 │        145 │
 347. │ 2024-08-22 13:00:00 │        112 │
 348. │ 2024-08-22 14:00:00 │        124 │
 349. │ 2024-08-22 15:00:00 │        148 │
 350. │ 2024-08-22 16:00:00 │        115 │
 351. │ 2024-08-22 17:00:00 │        150 │
 352. │ 2024-08-22 18:00:00 │        158 │
 353. │ 2024-08-22 19:00:00 │        129 │
 354. │ 2024-08-22 20:00:00 │        151 │
 355. │ 2024-08-22 21:00:00 │        156 │
 356. │ 2024-08-22 22:00:00 │        136 │
 357. │ 2024-08-22 23:00:00 │        121 │
 358. │ 2024-08-23 00:00:00 │        168 │
 359. │ 2024-08-23 01:00:00 │        138 │
 360. │ 2024-08-23 02:00:00 │        152 │
 361. │ 2024-08-23 03:00:00 │        153 │
 362. │ 2024-08-23 04:00:00 │        142 │
 363. │ 2024-08-23 05:00:00 │        134 │
 364. │ 2024-08-23 06:00:00 │        122 │
 365. │ 2024-08-23 07:00:00 │        138 │
 366. │ 2024-08-23 08:00:00 │        139 │
 367. │ 2024-08-23 09:00:00 │        125 │
 368. │ 2024-08-23 10:00:00 │        159 │
 369. │ 2024-08-23 11:00:00 │        143 │
 370. │ 2024-08-23 12:00:00 │        152 │
 371. │ 2024-08-23 13:00:00 │        144 │
 372. │ 2024-08-23 14:00:00 │        134 │
 373. │ 2024-08-23 15:00:00 │        145 │
 374. │ 2024-08-23 16:00:00 │        165 │
 375. │ 2024-08-23 17:00:00 │        143 │
 376. │ 2024-08-23 18:00:00 │        146 │
 377. │ 2024-08-23 19:00:00 │        132 │
 378. │ 2024-08-23 20:00:00 │        114 │
 379. │ 2024-08-23 21:00:00 │        137 │
 380. │ 2024-08-23 22:00:00 │        156 │
 381. │ 2024-08-23 23:00:00 │        129 │
 382. │ 2024-08-24 00:00:00 │        147 │
 383. │ 2024-08-24 01:00:00 │        132 │
 384. │ 2024-08-24 02:00:00 │        136 │
 385. │ 2024-08-24 03:00:00 │        144 │
 386. │ 2024-08-24 04:00:00 │        137 │
 387. │ 2024-08-24 05:00:00 │        132 │
 388. │ 2024-08-24 06:00:00 │        132 │
 389. │ 2024-08-24 07:00:00 │        148 │
 390. │ 2024-08-24 08:00:00 │        130 │
 391. │ 2024-08-24 09:00:00 │        135 │
 392. │ 2024-08-24 10:00:00 │        132 │
 393. │ 2024-08-24 11:00:00 │        137 │
 394. │ 2024-08-24 12:00:00 │        137 │
 395. │ 2024-08-24 13:00:00 │        144 │
 396. │ 2024-08-24 14:00:00 │        123 │
 397. │ 2024-08-24 15:00:00 │        144 │
 398. │ 2024-08-24 16:00:00 │        138 │
 399. │ 2024-08-24 17:00:00 │        141 │
 400. │ 2024-08-24 18:00:00 │        133 │
 401. │ 2024-08-24 19:00:00 │        121 │
 402. │ 2024-08-24 20:00:00 │        153 │
 403. │ 2024-08-24 21:00:00 │        137 │
 404. │ 2024-08-24 22:00:00 │        137 │
 405. │ 2024-08-24 23:00:00 │        150 │
 406. │ 2024-08-25 00:00:00 │        140 │
 407. │ 2024-08-25 01:00:00 │        156 │
 408. │ 2024-08-25 02:00:00 │        137 │
 409. │ 2024-08-25 03:00:00 │        164 │
 410. │ 2024-08-25 04:00:00 │        155 │
 411. │ 2024-08-25 05:00:00 │        150 │
 412. │ 2024-08-25 06:00:00 │        141 │
 413. │ 2024-08-25 07:00:00 │        119 │
 414. │ 2024-08-25 08:00:00 │        141 │
 415. │ 2024-08-25 09:00:00 │        131 │
 416. │ 2024-08-25 10:00:00 │        152 │
 417. │ 2024-08-25 11:00:00 │        135 │
 418. │ 2024-08-25 12:00:00 │        153 │
 419. │ 2024-08-25 13:00:00 │        135 │
 420. │ 2024-08-25 14:00:00 │        151 │
 421. │ 2024-08-25 15:00:00 │        118 │
 422. │ 2024-08-25 16:00:00 │        170 │
 423. │ 2024-08-25 17:00:00 │        135 │
 424. │ 2024-08-25 18:00:00 │        116 │
 425. │ 2024-08-25 19:00:00 │        132 │
 426. │ 2024-08-25 20:00:00 │        137 │
 427. │ 2024-08-25 21:00:00 │        119 │
 428. │ 2024-08-25 22:00:00 │        127 │
 429. │ 2024-08-25 23:00:00 │        140 │
 430. │ 2024-08-26 00:00:00 │        149 │
 431. │ 2024-08-26 01:00:00 │        150 │
 432. │ 2024-08-26 02:00:00 │        131 │
 433. │ 2024-08-26 03:00:00 │        116 │
 434. │ 2024-08-26 04:00:00 │        143 │
 435. │ 2024-08-26 05:00:00 │        135 │
 436. │ 2024-08-26 06:00:00 │        148 │
 437. │ 2024-08-26 07:00:00 │        151 │
 438. │ 2024-08-26 08:00:00 │        119 │
 439. │ 2024-08-26 09:00:00 │        140 │
 440. │ 2024-08-26 10:00:00 │        123 │
 441. │ 2024-08-26 11:00:00 │        143 │
 442. │ 2024-08-26 12:00:00 │        145 │
 443. │ 2024-08-26 13:00:00 │        136 │
 444. │ 2024-08-26 14:00:00 │        146 │
 445. │ 2024-08-26 15:00:00 │        127 │
 446. │ 2024-08-26 16:00:00 │        164 │
 447. │ 2024-08-26 17:00:00 │        147 │
 448. │ 2024-08-26 18:00:00 │        139 │
 449. │ 2024-08-26 19:00:00 │        114 │
 450. │ 2024-08-26 20:00:00 │        145 │
 451. │ 2024-08-26 21:00:00 │        146 │
 452. │ 2024-08-26 22:00:00 │        143 │
 453. │ 2024-08-26 23:00:00 │        130 │
 454. │ 2024-08-27 00:00:00 │        131 │
 455. │ 2024-08-27 01:00:00 │        149 │
 456. │ 2024-08-27 02:00:00 │        118 │
 457. │ 2024-08-27 03:00:00 │        133 │
 458. │ 2024-08-27 04:00:00 │        142 │
 459. │ 2024-08-27 05:00:00 │        129 │
 460. │ 2024-08-27 06:00:00 │        149 │
 461. │ 2024-08-27 07:00:00 │        133 │
 462. │ 2024-08-27 08:00:00 │        143 │
 463. │ 2024-08-27 09:00:00 │        141 │
 464. │ 2024-08-27 10:00:00 │        141 │
 465. │ 2024-08-27 11:00:00 │        134 │
 466. │ 2024-08-27 12:00:00 │        138 │
 467. │ 2024-08-27 13:00:00 │        140 │
 468. │ 2024-08-27 14:00:00 │        142 │
 469. │ 2024-08-27 15:00:00 │        133 │
 470. │ 2024-08-27 16:00:00 │        139 │
 471. │ 2024-08-27 17:00:00 │        148 │
 472. │ 2024-08-27 18:00:00 │        139 │
 473. │ 2024-08-27 19:00:00 │        154 │
 474. │ 2024-08-27 20:00:00 │        124 │
 475. │ 2024-08-27 21:00:00 │        137 │
 476. │ 2024-08-27 22:00:00 │        142 │
 477. │ 2024-08-27 23:00:00 │        156 │
 478. │ 2024-08-28 00:00:00 │        126 │
 479. │ 2024-08-28 01:00:00 │        147 │
 480. │ 2024-08-28 02:00:00 │        144 │
 481. │ 2024-08-28 03:00:00 │        125 │
 482. │ 2024-08-28 04:00:00 │        161 │
 483. │ 2024-08-28 05:00:00 │        145 │
 484. │ 2024-08-28 06:00:00 │        145 │
 485. │ 2024-08-28 07:00:00 │        154 │
 486. │ 2024-08-28 08:00:00 │        157 │
 487. │ 2024-08-28 09:00:00 │        141 │
 488. │ 2024-08-28 10:00:00 │        143 │
 489. │ 2024-08-28 11:00:00 │        138 │
 490. │ 2024-08-28 12:00:00 │        142 │
 491. │ 2024-08-28 13:00:00 │        183 │
 492. │ 2024-08-28 14:00:00 │        142 │
 493. │ 2024-08-28 15:00:00 │        166 │
 494. │ 2024-08-28 16:00:00 │        160 │
 495. │ 2024-08-28 17:00:00 │        171 │
 496. │ 2024-08-28 18:00:00 │        108 │
 497. │ 2024-08-28 19:00:00 │        116 │
 498. │ 2024-08-28 20:00:00 │        134 │
 499. │ 2024-08-28 21:00:00 │        106 │
 500. │ 2024-08-28 22:00:00 │        121 │
      ─ ─ ─ ─ ─ ─ ─ ─ ─ ─ ─ ─ ─ ─ ─ ─ ─ ─ 
6701. │ 2025-05-14 08:00:00 │        120 │
6702. │ 2025-05-14 09:00:00 │        156 │
6703. │ 2025-05-14 10:00:00 │        160 │
6704. │ 2025-05-14 11:00:00 │        105 │
6705. │ 2025-05-14 12:00:00 │        156 │
6706. │ 2025-05-14 13:00:00 │        135 │
6707. │ 2025-05-14 14:00:00 │        123 │
6708. │ 2025-05-14 15:00:00 │        156 │
6709. │ 2025-05-14 16:00:00 │        131 │
6710. │ 2025-05-14 17:00:00 │        143 │
6711. │ 2025-05-14 18:00:00 │        127 │
6712. │ 2025-05-14 19:00:00 │        139 │
6713. │ 2025-05-14 20:00:00 │        141 │
6714. │ 2025-05-14 21:00:00 │        150 │
6715. │ 2025-05-14 22:00:00 │        130 │
6716. │ 2025-05-14 23:00:00 │        142 │
6717. │ 2025-05-15 00:00:00 │        160 │
6718. │ 2025-05-15 01:00:00 │        110 │
6719. │ 2025-05-15 02:00:00 │        139 │
6720. │ 2025-05-15 03:00:00 │        139 │
6721. │ 2025-05-15 04:00:00 │        136 │
6722. │ 2025-05-15 05:00:00 │        127 │
6723. │ 2025-05-15 06:00:00 │        150 │
6724. │ 2025-05-15 07:00:00 │        150 │
6725. │ 2025-05-15 08:00:00 │        126 │
6726. │ 2025-05-15 09:00:00 │        145 │
6727. │ 2025-05-15 10:00:00 │        136 │
6728. │ 2025-05-15 11:00:00 │        134 │
6729. │ 2025-05-15 12:00:00 │        136 │
6730. │ 2025-05-15 13:00:00 │        143 │
6731. │ 2025-05-15 14:00:00 │        133 │
6732. │ 2025-05-15 15:00:00 │        155 │
6733. │ 2025-05-15 16:00:00 │        143 │
6734. │ 2025-05-15 17:00:00 │        139 │
6735. │ 2025-05-15 18:00:00 │        161 │
6736. │ 2025-05-15 19:00:00 │        128 │
6737. │ 2025-05-15 20:00:00 │        137 │
6738. │ 2025-05-15 21:00:00 │        126 │
6739. │ 2025-05-15 22:00:00 │        154 │
6740. │ 2025-05-15 23:00:00 │        140 │
6741. │ 2025-05-16 00:00:00 │        138 │
6742. │ 2025-05-16 01:00:00 │        116 │
6743. │ 2025-05-16 02:00:00 │        128 │
6744. │ 2025-05-16 03:00:00 │        140 │
6745. │ 2025-05-16 04:00:00 │        142 │
6746. │ 2025-05-16 05:00:00 │        132 │
6747. │ 2025-05-16 06:00:00 │        143 │
6748. │ 2025-05-16 07:00:00 │        138 │
6749. │ 2025-05-16 08:00:00 │        135 │
6750. │ 2025-05-16 09:00:00 │        142 │
6751. │ 2025-05-16 10:00:00 │        140 │
6752. │ 2025-05-16 11:00:00 │        144 │
6753. │ 2025-05-16 12:00:00 │        134 │
6754. │ 2025-05-16 13:00:00 │        123 │
